irritation_in_anus,irritation in anus,discomfort in anus,,,,
neck_pain,neck pain,pain in neck,neck ache,,,
dizziness,dizziness,imbalance,,,,
cramps,cramps,spasm,contraction,,,
bruising,bruising,blue patches,contusion,,,
obesity,obesity,weight gain,chubbiness,,,
swollen_legs,swollen legs,fat legs,,,,
swollen_blood_vessels,swollen blood vessels,inflammation of blood vessels,,,,
puffy_face_and_eyes,puffy face and eyes,swollen face,,,,
enlarged_thyroid,enlarged thyroid,swollen thyroid,increased thyroid,,,
brittle_nails,brittle nails,weak nails,breaking of nails,,,
swollen_extremeties,swollen extremeties,inflammation in the extremeties,,,,
excessive_hunger,excessive hunger,increased appetite,,,,
extra_marital_contacts,extra marital contacts,affairs,,,,
drying_and_tingling_lips,drying and tingling lips,lip drying,,,,
slurred_speech,slurred speech,slurred speech,,,,
knee_pain,knee pain,pain in the knees,,,,
hip_joint_pain,hip joint pain,aching of hip joints,,,,
muscle_weakness,muscle weakness,muscle fatigue,,,,
stiff_neck,stiff neck,stiffness in neck,,,,
swelling_joints,swelling joints,inflammated joints,,,,
movement_stiffness,movement stiffness,uneasiness in moving,,,,
spinning_movements,spinning movements,spinny movements,,,,
loss_of_balance,loss of balance,imbalance,,,,
unsteadiness,unsteadiness,non steadiness,,,,
weakness_of_one_body_side,weakness of one body side,partial weakness,,,,
loss_of_smell,loss of smell,anosmia,smelling impairment,,,
bladder_discomfort,bladder discomfort,uneasiness in bladder,,,,
foul_smell_of urine,foul smell of urine,bad smelling urine,,,,
continuous_feel_of_urine,continuous feel of urine,urinary feeling,,,,
passage_of_gases,passage of gases,farting,,,,
internal_itching,internal itching,internal itching,,,,
toxic_look_(typhos),toxic look (typhos),toxic look,,,,
depression,depression,loss of self confidence,mental discomfort,,,
irritability,irritability,discomfort,,,,
muscle_pain,muscle pain,muscle ache,,,,
altered_sensorium,altered sensorium,altered sensorium,,,,
red_spots_over_body,red spots over body,spots on body,,,,
belly_pain,belly pain,belly ache,,,,
abnormal_menstruation,abnormal menstruation,unusual menstrual cycle,abnormal menstruation,,,
dischromic _patches,dischromic  patches,dischromic patches,,,,
watering_from_eyes,watering from eyes,watery eyes,,,,
increased_appetite,increased appetite,hunger,,,,
polyuria,polyuria,excessive urination,,,,
family_history,family history,generational,inherited,,,
mucoid_sputum,mucoid sputum,sticky sputum,,,,
rusty_sputum,rusty sputum,reddish brown phlegm,blood stained spit,,,
lack_of_concentration,lack of concentration,impatience,,,,
visual_disturbances,visual disturbances,blurred vision,unfocused vision,disabillity to see,,
receiving_blood_transfusion,receiving blood transfusion,blood exchange,blood transfer,,,
receiving_unsterile_injections,receiving unsterile injections,sharing needles,unsterile injections,,,
coma,coma,non responsiveness,blackout,oblivion,,
stomach_bleeding,stomach bleeding,bleeding of stomach,,,,
distention_of_abdomen,distention of abdomen,swollen stomach,swollen abomen,,,
history_of_alcohol_consumption,history of alcohol consumption,alcoholic,drunkard,alcohol addict,,
fluid_overload,fluid overload,hypervolemia,fluid retention,,,
blood_in_sputum,blood in sputum,cough blood,spit blood,bloody phlegm,,
prominent_veins_on_calf,prominent veins on calf,varicose veins,,,,
palpitations,palpitations,pulsations,throbbing,beating,,
painful_walking,painful walking,pain while walking,,,,
pus_filled_pimples,pus filled pimples,acne,,,,
blackheads,blackheads,comedo,,,,
scurring,scurring,scurring,,,,
skin_peeling,skin peeling,peeling of skin,,,,
silver_like_dusting,silver like dusting,silver like dusting,,,,
small_dents_in_nails,small dents in nails,nail pitting,,,,
inflammatory_nails,inflammatory nails,paronychia,,,,
blister,blister,abscess,cyst,pimple,sore,ulcer
red_sore_around_nose,red sore around nose,Perioral dermatitis,,,,
yellow_crust_ooze,yellow crust ooze,seeping pus,,,,
